no,lei_mfi_code_for_branches,type,banks,ground_for_significance,scope_1_emissions_tco2e,scope_2_emissions_tco2e,scope_3_emissions_tco2e,emission_reduction_policy_score,renewable_energy_share,community_investment_eur,diversity_representation,health_safety_score,board_strategy_esg_oversight_score,green_financing_eur,total_revenue_eur,reporting_quality_score
1,54930056IRBXK0Q1FP96,CI,"ABANCA Corporación Bancaria, S.A.",Size (Total assets EUR 50-75 bn),1004.36,0.0,2592.07,4.0,1.0,17700000.0,0.3329999999999999,4.0,4.0,1078000000.0,1572000000.0,4.0
2,BFXS5XCH7N0Y05NIXW11,CI,ABN AMRO Bank N.V.,Size (Total assets EUR 300-500 bn),30000.0,,4940000.0,3.0,,500000000.0,,,2.0,500000000.0,8780000000.0,2.0
3,529900UKZBMDBDZIXD62,CI,Addiko Bank AG   ,Significant cross-border activities,835.0,2858.0,582349.0,3.0,0.28,,0.5660000000000001,3.0,4.0,18.0,276600000.0,3.0
4,635400AKJBGNS5WNQL34,FH,AIB Group plc,Size (Total assets EUR 100-150 bn),2670.0,4909.0,2200000.0,4.0,0.6,10800000.0,0.4,4.0,4.0,3700000000.0,4722000000.0,4.0
5,213800HDJ876ACJXXD05,FH,AikGroup (CY) Limited,"Among the three largest credit institutions in
the Member State",,,3348760.0,4.0,,,,,4.0,,422192000.0,4.0
6,213800DBQIB6VBNU5C64,CI,ALPHA BANK S.A.,Size (Total assets EUR 50-75 bn),1473.0,18419.0,35102566.0,4.0,0.89,2443000.0,0.385,4.0,4.0,800000000.0,2290000000.0,4.0
7,549300YW95G1VBBGGV07,CI,"AS ""SEB banka""",Among the three largest credit institutions in,495.0,196.0,167000000.0,4.0,0.87,818000.0,0.36,4.0,4.0,1183000000.0,246000000.0,4.0
8,2138009Y59EAR7H1UO97,CI,AS “Citadele banka”,Among the three largest credit institutions in,82.4,343.4,3887105.6,4.0,0.73,,0.67,4.0,4.0,115000000.0,234000000.0,4.0
9,529900JG015JC10LED24,FH,AS LHV Group,"National economic importance (quantitative
assessment - GDP)",0.0,737.0,729538.0,,,282000.0,0.597,,,90210000.0,310500000.0,2.0
10,549300ND1MQ8SNNYMJ22,CI,AS SEB Pank,,796.0,777.0,11678.0,4.0,0.95,5562999.5841611605,0.4,4.0,4.0,30790555837.91526,23522339786.53606,4.0
11,724500A1FNICHSDF2I11,CI,ASN Bank N.V.,Size (Total assets EUR 50-75 bn),355.0,525.0,1250354.0,4.0,0.45,141000.0,0.38,4.0,4.0,3800000000.0,1414000000.0,4.0
12,254900RNFMDM0P11YR84,FH,Atlantic Lux HoldCo S.à r.l.,Size (Total assets EUR 30-50 bn),2783.0,1068.0,974.0,4.0,0.87,30000.0,0.369,4.0,4.0,4800000000.0,,4.0
13,7LVZJ6XRIE7VNZ4UBX81,CI,Banca Mediolanum S.p.A.,Size (Total assets EUR 30-50 bn),2628.41,13.56,4040041.09,4.0,0.994,16585000.0,0.4934,4.0,4.0,1048390000.0,5321346000.0,4.0
14,J4CP7MHCXR8DAQMKIL78,CI,BANCA MONTE DEI PASCHI DI SIENA S.p.A.,Size (Total assets EUR 100-150 bn),4206.9,26055.9,19677733.09,4.0,1.0,932600000.0,0.5,4.0,4.0,486000000.0,3797000000.0,4.0
15,"K8MS7FD7N5Z2WQ51AZ71
",CI,"Banco Bilbao Vizcaya Argentaria, S.A.","Size (Total assets EUR 500-1,000 bn)",13224.86,0.0,36688.02,4.0,1.0,9591296.524292074,0.51,2.0,4.0,9778056.63415096,10519130599.488588,4.0
16,815600E4E6DCD2D25E30,CI,Banco BPM S.p.A.,Size (Total assets EUR 150-300 bn),10602.9,2851.8,13193.9,4.0,1.0,5800000.0,0.297,4.0,4.0,7000000000.0,4938000000.0,4.0
17,JU1U6S0DG9YLT7N8ZV32,CI,"Banco Comercial Português, S.A.", Size (Total assets EUR 75-100 bn),5502.0,5756.0,6839678.0,4.0,0.974,2400000.0,0.31,4.0,4.0,7073000000.0,11218400000.0,4.0
18,95980020140005881190,CI,"Banco de Crédito Social Cooperativo, S.A.",Size (Total assets EUR 50-75 bn),622.3,0.0,8112391.51,4.0,1.0,8011000.0,0.29,4.0,4.0,650000000.0,1331216000.0,4.0
19,SI5RG2M0WQQLZCXKRM20,CI,"Banco de Sabadell, S.A.",Size (Total assets EUR 150-300 bn),3243.0,0.0,7165.0,4.0,1.0,3716208.0,0.33,4.0,4.0,53600000000.0,1890778000.0,4.0
20,95980020140005800000,CI,"Banco Occidental, S.A.",,1252.01,1992.65,3845.34,4.0,0.0154,,0.5886,4.0,4.0,,,4.0
21,5493006QMFDDMYWIAM13,CI,"Banco Santander, S.A.","Size (Total assets above EUR 1,000 bn)",5542.0,1942.0,9856.0,4.0,0.914,28340425.53191489,0.56,4.0,4.0,4085106382.978724,794042553.1914893,4.0
22,EQYXK86SF381Q21S3020,CI,BANK OF AMERICA EUROPE DESIGNATED ACTIVITY COMPANY,Size (Total assets EUR 50-75 bn),66775.0,634510.0,33342000.0,3.0,0.0101,148684255.31914893,,,3.0,349019574.4680851,3020000000.0,4.0
23,635400L14KNHZXPUZM19,FH,Bank of Cyprus Holdings Public Limited Company,,902.25,9359.0,2944625.0,3.0,0.021,4000000.0,0.44,3.0,3.0,585465965.0,1092000000.0,4.0
24,635400C8EK6DRI12LJ39,FH,Bank of Ireland Group plc,Size (Total assets EUR 100-150 bn),3615.0,10.0,5058.0,4.0,1.0,7100000.0,0.46,4.0,4.0,11100000000.0,7820000000.0,4.0
25,529900RWC8ZYB066JF16,CI,Bank of Valletta plc,National economic importance (quantitative assessment - GDP),108.75,2089.22,22020.68,2.0,,53700.0,0.604,2.0,4.0,3430000.0,441000000.0,4.0
26,VWMYAEQSTOPNV0SUGU82,CI,"Bankinter, S.A.",Size (Total assets EUR 100-150 bn),1672.12,63.07,14659.27,4.0,0.992,3615000.0,0.455,4.0,4.0,2426000000.0,2660543000.0,4.0
27,R7CQUF1DQM73HUTV1078,CI,"Banque et Caisse d’Epargne de l’Etat, Luxembourg",Size (Total assets EUR 50-75 bn),1305.0,106.0,2471.0,4.0,1.0,652000.0,0.414,4.0,4.0,607200000.0,1070800000.0,4.0
28,9CZ7TVMR36CYD5TZBS50,CI,Banque Internationale à Luxembourg S.A.,Size (Total assets EUR 30-50 bn),1526.0,361.0,12643.0,4.0,0.675,99720.0,0.47,4.0,4.0,442700000.0,762000000.0,4.0
29,2G5BKIC2CB69PRJH1W31,CI,"Barclays Bank Ireland plc
",Size (Total assets EUR 100-150 bn),250.0,50.0,,4.0,1.0,,0.27,4.0,4.0,23489361702.12766,1275000000.0,4.0
30,529900S9YO2JHTIIDG38,FH,BAWAG Group AG,Size (Total assets EUR 50-75 bn),1331.0,1009.0,284000.0,4.0,1.0,1100000.0,0.44,3.0,3.0,1600000000.0,3120100000.0,4.0
31,VDYMYTQGZZ6DU0912C88,CI,Bayerische Landesbank,Size (Total assets EUR 150-300 bn),1286.0,410.0,1717.0,4.0,0.52,1140000.0,0.274,4.0,4.0,1496000000.0,1441000000.0,4.0
32,A5GWLFH3KM7YV2SFQL84,CI,Belfius Banque SA ; Belfius Bank NV ; Belfius Bank SA,Size (Total assets EUR 150-300 bn),5343.0,79.0,19714932.0,4.0,0.95,37000000.0,0.409,4.0,4.0,2500000000.0,1115000000.0,4.0
33,529900GGYMNGRQTDOO93,CI,BNG Bank N.V.,Size (Total assets EUR 100-150 bn),146.0,59.0,2667000000.0,4.0,1.0,120000000.0,0.3417,4.0,4.0,6300000000.0,516000000.0,4.0
34,R0MUWSFPU8MPRO8K5P83,CI,BNP Paribas S.A.,"Size (Total assets above EUR 1,000 bn)",0.31,0.31,0.715,3.0,0.65,90000000.0,0.371,4.0,4.0,184000000000.0,46900000000.0,3.0
35,549300FH0WJAPEHTIQ77,CI-B,BofA Securities Europe SA,Size (Total assets EUR 100-150 bn),66775.0,634510.0,2010264.0,4.0,1.0,148684255.31914893,,,4.0,483442553.1914893,6650000000.0,4.0
36,9695005MSX1OYEMGDF46,CI,BPCE S.A.,"Size (Total assets EUR 500-1,000 bn)",31740.0,74060.0,423200.0,4.0,0.97,25100000000.0,,4.0,4.0,11300000000.0,22200000000.0,4.0
37,N747OI7JINV7RUUH6190,CI,BPER Banca S.p.A.,Size (Total assets EUR 150-300 bn),12195.0,26457.0,3649550.0,3.0,1.0,,0.25,3.0,4.0,3800000000.0,4920000000.0,1.0
38,969500STN7T9MRUMJ267,CI,Bpifrance,Size (Total assets EUR 100-150 bn),7600.0,360.7,55600.0,4.0,1.0,456000000.0,0.5559000000000001,4.0,4.0,7100000000.0,2014000000.0,4.0
39,TO822O0VT80V06K0FH57,CI,"Caixa Geral de Depósitos, S.A.",Size (Total assets EUR 75-100 bn),,,,4.0,,39900000.0,0.348,,4.0,1300000000.0,1291000000.0,4.0
40,7CUNS533WID6K7DGFI87,CI,"CaixaBank, S.A.","Size (Total assets EUR 500-1,000 bn)",8423.34,0.0,221863910.0,4.0,1.0,538000000.0,0.4,4.0,4.0,60143000000.0,15140000000.0,4.0
41,LOO0AWXR8GF142JCO404,CI,Cassa Centrale Banca - Credito Cooperativo Italiano S.p.A.,Size (Total assets EUR 75-100 bn),7123.87,16492.32,1648.18,4.0,0.96,42500000.0,0.33,4.0,4.0,2100000000.0,4220000000.0,4.0
42,N1FBEDJ5J41VKZLO2475,CI,Citibank Europe plc,Size (Total assets EUR 100-150 bn),455.0,7226.0,321.0,3.0,1.0,1914893.6170212768,0.3,2.0,2.0,371914893.61702126,3699574468.0851054,2.0
43,6TJCK1B7E7UTXP528Y04,CI-B,Citigroup Global Markets Europe AG,Size (Total assets EUR 50-75 bn),46582.0,28927.0,77004.0,3.0,1.0,73191489.36170213,0.494,2.0,3.0,78893617021.2766,414200000.0,5.0
44,851WYGNLUQLFZBSYGB56,CI,COMMERZBANK Aktiengesellschaft,"Size (Total assets EUR 500-1,000 bn)",17418.0,12867.0,46306.0,4.0,0.09,690113.0,0.361,4.0,4.0,238000000000.0,10461000000.0,4.0
45,9695000CG7B84NLR5984,CI,Confédération Nationale du Crédit Mutuel,"Size (Total assets EUR 500-1,000 bn)",25156.0,14162.0,435757.0,4.0,,439000000.0,0.56,2.0,4.0,50247000000.0,18701000000.0,4.0
46,DG3RU1DBUFHT4ZF9WN62,CI,Coöperatieve Rabobank U.A.,"Size (Total assets EUR 500-1,000 bn)",73000.0,1.0,48800000.0,4.0,,40100000.0,0.44,4.0,4.0,34227000000.0,15405000000.0,4.0
47, 969500TJ5KRTCJQWXH05,CI,Crédit Agricole S.A.,,60.2419,9.3,84.0,4.0,0.5,60000000.0,,2.0,4.0,17000000000.0,373400000000.0,4.0
48,815600AD83B2B6317788,FH,Credito Emiliano Holding S.p.A.,Size (Total assets EUR 50-75 bn),2723.7,620.0,3582302.6,4.0,0.636,1604000.0,0.3936,4.0,4.0,461000000.0,2077860000.0,4.0
49,549300DYPOFMXOR7XM56,CI,Crelan SA ; Crelan NV,Size (Total assets EUR 50-75 bn),2963.0,2963.0,1.3,4.0,,86200.0,0.25,4.0,4.0,1350000000.0,,4.0
50,FI10786932,BR,"Danske Bank A/S, Finland Branch",Size (Total assets EUR 30-50 bn),201.0,1753.0,7338.0,4.0,0.53,950608.5233434644,0.51,4.0,4.0,48869311411.31894,7021783662.922252,4.0
51,0W2PZJM8XOY22M4GG883,CI,DekaBank Deutsche Girozentrale,Size (Total assets EUR 75-100 bn),1433.0,2067.0,3103.0,4.0,1.0,1310000.0,0.239,4.0,4.0,59800000000.0,5707000000.0,4.0
52,5299007S3UH5RKUYDA52,CI,Deutsche Apotheker- und Ärztebank eG,Size (Total assets EUR 50-75 bn),1480.0,485.0,1659.0,3.0,1.0,515000.0,0.47,4.0,2.0,1460000.0,1196000000.0,1.0
53,7LTWFZYICNSX8D621K86,CI,Deutsche Bank AG,"Size (Total assets above EUR 1,000 bn)",18735.0,26079.0,1286521.0,4.0,0.97,52600000.0,0.3229999999999999,2.0,4.0,279000000000.0,28876000000.0,4.0
54,DZZ47B9A52ZJ6LT6VV95,CI,Deutsche Pfandbriefbank AG,Size (Total assets EUR 50-75 bn),374.0,6.0,959.0,4.0,,,,2.0,4.0,103000000.0,603000000.0,4.0
55,529900GEH0DAUTAXUA94,CI,DSK Bank AD,"Among the three largest credit institutions in
the Member State",2051.81,1515.15,370186.0,3.0,0.492,676641.2721137131,0.772,2.0,2.0,1087023213.0074651,599790878.4129257,2.0
56,529900HNOAA1KXQJUQ27,CI,DZ BANK AG Deutsche Zentral-Genossenschaftsbank,"Size (Total assets EUR 500-1,000 bn)",20813.67,7658.97,54870.51,4.0,0.96,3800000.0,0.461,4.0,4.0,7380000000.0,3189000000.0,4.0
57,PQOH26KWDF7CG10L6792,CI,Erste Group Bank AG,Size (Total assets EUR 300-500 bn),18701.0,13153.0,28300000.0,4.0,0.91,31700000.0,0.589,2.0,4.0,2950000000.0,10552000000.0,4.0
58,391200EEGLNXBBCVKC73,FH,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,Size (Total assets EUR 50-75 bn),4631.2,2582.0,4423.4,2.0,1.0,5300000.0,0.6,2.0,2.0,1256000000.0,,2.0
59,JEUVK5RWVJEN8W0C9M24,FH,Eurobank Ergasias Services and Holdings S.A.,Size (Total assets EUR 75-100 bn),5067100.0,1607100.0,24313100.0,4.0,0.9804,29000000.0,0.65,4.0,4.0,2180000000.0,2803000000.0,4.0
60,549300L7YCATGO57ZE10,CI,FinecoBank S.p.A.,Size (Total assets EUR 30-50 bn),281.0,796.0,941.0,4.0,0.71,879030.0,0.55,4.0,4.0,20800000.0,1893000000.0,4.0
61,8IBZUGJ7JPLH368JE346,CI,Goldman Sachs Bank Europe SE,Size (Total assets EUR 150-300 bn),13842.0,9252.0,79915.0,4.0,1.0,22.0,0.63,2.0,4.0,472.3404255319149,39365106382.97872,4.0
62,TUKDD90GPC79G1KOE162,CI,Hamburg Commercial Bank AG,Size (Total assets EUR 30-50 bn),20.0,444.0,2885432.0,4.0,1.0,997402.0,0.375,4.0,4.0,606000000.0,427000000.0,4.0
63,529900JZTYE3W7WQH904,FH,HASPA Finanzholding,Size (Total assets EUR 50-75 bn),1301.0,563.3,8546.4,4.0,0.8,7500000.0,0.557,4.0,4.0,278000000.0,1081000000.0,4.0
64,F0HUI1NY1AZMJMD8LP67,CI,HSBC Continental Europe,Size (Total assets EUR 150-300 bn),16918.0,167174.0,1090280.0,3.0,0.584,91319148.93617022,0.341,1.0,3.0,2944000000.0,56255319148.936165,1.0
65,549300OLBL49CW8CT155,CI,"Ibercaja Banco, S.A.",Size (Total assets EUR 30-50 bn),777.74,56.72,1620828.0,4.0,1.0,19727680.0,0.493,4.0,4.0,3440000000.0,1256916000.0,4.0
66,NNVPP80YIZGEY2314M97,CI,ICCREA Banca S.p.A. - Istituto Centrale del Credito Cooperativo,Size (Total assets EUR 150-300 bn),,,,4.0,,,,,4.0,350000000.0,5589733000.0,4.0
67,549300NYKK9MWM7GGW15,MFH,ING Groep N.V.,"Size (Total assets EUR 500-1,000 bn)",6000.0,8000.0,14000.0,3.0,0.98,18700000.0,0.31,3.0,3.0,115000000000.0,22575000000.0,1.0
68,2W8N8UU78PMDQKZENC08,CI,Intesa Sanpaolo S.p.A.,"Size (Total assets EUR 500-1,000 bn)",50475.0,18591.0,55893.0,4.0,0.882,101100000.0,0.54,4.0,4.0,11000000000.0,25900000000.0,4.0
69,5493008QOCP58OLEN998,MFH,Investeringsmaatschappij Argenta NV ; Société d'investissements Argenta SA ; Investierungsgesellschaft Argenta AG,Size (Total assets EUR 50-75 bn),,,,3.0,,,,,2.0,,3430153.0,2.0
70,549300ZK53CNGEEI6A29,CI,J.P. Morgan SE,Size (Total assets EUR 300-500 bn),,,,3.0,,,,3.0,3.0,,5620000000.0,3.0
71,213800X3Q9LSAKRUWY91,MFH,KBC Group NV,Size (Total assets EUR 300-500 bn),29047.0,3995.0,56081123.0,4.0,1.0,20300000.0,0.25,4.0,4.0,26700000000.0,11224000000.0,4.0
72,5299002GPCR602QYJC04,FH,KfW Beteiligungsholding GmbH,Size (Total assets EUR 30-50 bn),2987.0,1235.0,13044.0,3.0,0.691,144190.0,0.481,3.0,2.0,38900000000.0,724400000000.0,4.0
73,529900HEKOENJHPNN480,CI,Kuntarahoitus Oyj,Size (Total assets EUR 30-50 bn),,,81366.0,4.0,0.01,,,2.0,4.0,4795000000.0,,4.0
74,549300U4LIZV0REEQQ46,CI,"Kutxabank, S.A.",Size (Total assets EUR 50-75 bn),,,,4.0,,306430000.0,0.54,3.0,4.0,2116000000.0,1735400000.0,2.0
75,96950066U5XAAIRCPA78,CI,La Banque Postale,Size (Total assets EUR 300-500 bn),13856.0,1809.0,10367000000.0,5.0,0.924,3000000.0,,3.0,4.0,1600000000.0,7255000000.0,4.0
76,B81CK4ESI35472RHJ606,CI,Landesbank Baden-Württemberg,Size (Total assets EUR 300-500 bn),5548.9,7326.0,12300000.0,4.0,0.967,1119000.0,0.51,4.0,4.0,42484000000.0,3781000000.0,4.0
77,DIZES5CFO5K3I5R58746,CI,Landesbank Hessen-Thüringen Girozentrale,Size (Total assets EUR 150-300 bn),2034.0,835.0,3522.0,4.0,1.0,1200000.0,0.257,3.0,2.0,80600000000.0,2880000000.0,4.0
78,529900FU4WJ2XT7BVE31,CI,LBS Landesbausparkasse Süd,Size (Total assets EUR 30-50 bn),281.0,2017.0,1443.0,3.0,1.0,342500.0,0.5891,3.0,3.0,22610000000.0,917030126.0,2.0
79,222100K6QL2V4MLHWQ08,FH,LSF Nani Investments S.à.r.l.,Size (Total assets EUR 30-50 bn),3675.3,1146.3,2609423.7,4.0,0.77,475000.0,0.387,4.0,4.0,713200000.0,1438700000.0,4.0
80,213800RZWHE5EUX9R444,FH,Luminor Holding AS,,2765.0,2765.0,2332000.0,4.0,0.42,137000.0,0.22,4.0,4.0,108000000.0,646100000.0,4.0
81,213800TC9PZRBHMJW403,FH,MDB Group Limited,"Among the three largest credit institutions in
the Member State",,,,3.0,,,,,2.0,,11900000.0,2.0
82,PSNL19R2RXX5U3QWHI44,CI,Mediobanca - Banca di Credito Finanziario S.p.A.,Size (Total assets EUR 75-100 bn),2885.0,43.0,3451.0,4.0,1.0,6500000.0,0.2,2.0,4.0,200000000.0,2640000000.0,4.0
83,549300C9KPZR0VZ16R05,FH,Morgan Stanley Europe Holding SE,Size (Total assets EUR 100-150 bn),24201.0,229954.0,98289.0,4.0,1.0,136170212.76595744,0.4,4.0,4.0,698000000000.0,46079148936.17021,4.0
84,529900GM944JT8YIRL63,CI,Münchener Hypothekenbank eG,Size (Total assets EUR 50-75 bn),,460.51,653290.0,2.0,1.0,19000.0,0.486,2.0,2.0,5200800000.0,456433000.0,2.0
85,5UMCZOEYKCVFAW8ZLO05,CI,National Bank of Greece S.A.,Size (Total assets EUR 50-75 bn),1597.0,19761.0,58337.0,4.0,0.999,17500000.0,0.31,4.0,4.0,2449000000.0,2554000000.0,4.0
86,894500M8C9DWGV7L2Q81,CI,NatWest Bank Europe GmbH,"Article 6(5)(b) of Regulation (EU) No
1024/2013",12922.0,51829.0,603827.0,4.0,1.0,12720605.088242032,0.4,2.0,4.0,33577813431.12537,16905798762.319504,4.0
87,JLP5FSPH9WPSHY3NIM24,CI,Nederlandse Waterschapsbank N.V.,Size (Total assets EUR 75-100 bn),29.58,0.0,33.8,4.0,1.0,125000.0,0.405,3.0,3.0,24199000000.0,246000000.0,4.0
88,MMYX0N4ZEZ13Z4XCG897,CI,New York Mellon SA/NV,Size (Total assets EUR 30-50 bn),7147.0,96117.0,19825.0,4.0,1.0,30893617.0212766,0.45,2.0,4.0,44255319148.93617,14895319148.93617,4.0
89,DSNHHQ2B9X5N6OUJ1236,CI,Norddeutsche Landesbank -Girozentrale-,Size (Total assets EUR 100-150 bn),1300.0,726.0,2101.0,3.0,0.4587,1326000.0,0.492,3.0,3.0,2500000000.0,1300000000.0,1.0
90,529900ODI3047E2LIV03,CI,Nordea Bank Abp,"Size (Total assets EUR 500-1,000 bn)",1142.0,3116.0,16114.0,4.0,1.0,226415.0,0.4,2.0,4.0,147108000000.0,11743000000.0,4.0
91,5299008I0TO44SUINZ71,CI,Oldenburgische Landesbank Aktiengesellschaft,Size (Total assets EUR 30-50 bn),1673.0,22.0,1103.0,4.0,0.99,850000.0,0.478,4.0,4.0,25380000.0,602800000.0,4.0
92,7437003B5WFBOIEFY714,MFH,OP Osuuskunta,Size (Total assets EUR 100-150 bn),187.0,95.0,5220000.0,4.0,0.992,4900000.0,0.31,3.0,3.0,6600000000.0,4501000000.0,4.0
93,22210058UCKT3BJTCN24,FH,OTP Luxembourg S.à.r.l.,,31270.0,39379.0,4618.0,4.0,0.21,12981955.082435414,0.16,4.0,4.0,1703232506.8155265,5775889913.020901,4.0
94,M6AD1Y1KW32H8THQ6F76,FH,Piraeus Financial Holdings S.A.,Size (Total assets EUR 75-100 bn),1238.41,0.0,18532127.85,4.0,1.0,4000000.0,0.58,4.0,4.0,2700000000.0,2607000000.0,4.0
95,549300UARE5MHTBUPJ19,FH,Promontoria 19 Coöperatie U.A.,Size (Total assets EUR 30-50 bn),16918.0,167174.0,1090280.0,4.0,0.584,89361702.12765957,0.341,4.0,4.0,71234042553.19148,56219574468.08511,4.0
96,9ZHRYM6F437SQJ6OUG95,CI,Raiffeisen Bank International AG,,12403.0,33526.0,43450000000.0,4.0,0.48,10519908.0,0.63,4.0,4.0,16574000000.0,14091000000.0,4.0
97,529900XSTAE561178282,FH,Raiffeisenbankengruppe OÖ Verbund eGen,Size (Total assets EUR 30-50 bn),65884.68,21630.76,3881230.0,4.0,0.25,,0.3333,4.0,4.0,7000000000.0,3731510000.0,4.0
98,529900SXEWPJ1MRRX537,FH,RAIFFEISEN-HOLDING NIEDERÖSTERREICH-WIEN registrierte Genossenschaft mit beschränkter Haftung,Size (Total assets EUR 30-50 bn),41198.54,62839.8,1320000.0,4.0,0.37,1993372.9,0.15,4.0,4.0,4374277000.0,4612341400.0,4.0
99,724500JIWG886A9RRT57,FH,RBS Holdings N.V.,Article 6(5)(b) of Regulation (EU) No 1024/2013,12922.0,51829.0,603827.0,4.0,1.0,12720605.088242032,0.4,2.0,4.0,33577813431.12537,16905798762.319504,4.0
100,96950001WI712W7PQG45,CI,RCI Banque SA,Size (Total assets EUR 50-75 bn),,,2483388.0,4.0,,923.0,0.52,4.0,4.0,1250000000.0,1961000000.0,4.0
101,549300HFEHJOXGE4ZE63,CI,SFIL S.A.,Size (Total assets EUR 50-75 bn),,,,3.0,,,,4.0,3.0,,,4.0
102,O2RNE8IBXP4R0TD8PU41,CI,Société Générale S.A.,"Size (Total assets above EUR 1,000 bn)",24777.0,75743.0,67478.0,4.0,,1000000000.0,,,3.0,300000000000.0,25100000000.0,4.0
103,529900V3O1M5IHMOSF46,FH,State Street Europe Holdings Germany S.à.r.l. & Co. KG,Size (Total assets EUR 30-50 bn),7559.0,50878.0,293296.0,4.0,,21957446.80851064,0.33,,3.0,650000000000.0,,1.0
104,9845006C7B5CC707X660,FH,Swedbank Baltics AS,Size (Total assets EUR 30-50 bn),692.0,3678.0,15407.0,4.0,0.999,10996627.084969737,0.61,4.0,4.0,7989650233.331793,6751097352.4927225,4.0
105,5299007QVIQ7IO64NX37,CI,UBS Europe SE,Size (Total assets EUR 30-50 bn),48522.0,48522.0,168688.0,3.0,,0.956,0.626,3.0,2.0,,248765957446.8085,2.0
106,5493007SJLLCTM6J6M37,CI,"Unicaja Banco, S.A.",Size (Total assets EUR 75-100 bn),2261.0,481.0,10409489.0,4.0,1.0,1354640.0,0.3571,4.0,4.0,1300000000.0,1400000000.0,4.0
107,549300TRUWO2CD2G5692,CI,UniCredit S.p.A.,"Size (Total assets EUR 500-1,000 bn)",26072.0,21399.0,29683.0,4.0,0.904,59600000.0,0.42,4.0,4.0,82000000000.0,42166000000.0,4.0
108,529900D4CD6DIB3CI904,CI,Volksbank Wien AG,Size (Total assets EUR 30-50 bn),428.67,188.93,,4.0,1.0,46191.23,0.352,4.0,4.0,154800000.0,,4.0
109,529900SSGT49ZZSWYE62,FH,Volkswagen Financial Services AG,Size (Total assets EUR 50-75 bn),308.47,127347.0,6334.0,2.0,1.0,27396.12988406156,0.18,4.0,2.0,,603003672.0716261,2.0
110,529900S1KHKOEQL5CK20,CI,Wüstenrot Bausparkasse Aktiengesellschaft,Size (Total assets EUR 30-50 bn),,,,3.0,,,0.604,,2.0,500000000.0,525500000.0,2.0
