cause,effect,rule_name,justification
governance_compliance_score,anti_competitive_violations,forbid_reverse_of_reference_edge,Reverse of reference edge anti_competitive_violations -> governance_compliance_score is not allowed in the main forbidden-only constraint set.
assurance_score,auditor_independence_score,forbid_reverse_of_reference_edge,Reverse of reference edge auditor_independence_score -> assurance_score is not allowed in the main forbidden-only constraint set.
governance_compliance_score,auditor_independence_score,forbid_reverse_of_reference_edge,Reverse of reference edge auditor_independence_score -> governance_compliance_score is not allowed in the main forbidden-only constraint set.
governance_compliance_score,board_diversity,forbid_reverse_of_reference_edge,Reverse of reference edge board_diversity -> governance_compliance_score is not allowed in the main forbidden-only constraint set.
reporting_quality_score,board_diversity,forbid_reverse_of_reference_edge,Reverse of reference edge board_diversity -> reporting_quality_score is not allowed in the main forbidden-only constraint set.
environmental_fines,carbon_intensity,forbid_reverse_of_reference_edge,Reverse of reference edge carbon_intensity -> environmental_fines is not allowed in the main forbidden-only constraint set.
market_value_equity,carbon_intensity,forbid_reverse_of_reference_edge,Reverse of reference edge carbon_intensity -> market_value_equity is not allowed in the main forbidden-only constraint set.
emission_reduction_policy,carbon_neutral_commitment,forbid_reverse_of_reference_edge,Reverse of reference edge carbon_neutral_commitment -> emission_reduction_policy is not allowed in the main forbidden-only constraint set.
renewable_energy_share,carbon_neutral_commitment,forbid_reverse_of_reference_edge,Reverse of reference edge carbon_neutral_commitment -> renewable_energy_share is not allowed in the main forbidden-only constraint set.
governance_compliance_score,ceo_chair_split,forbid_reverse_of_reference_edge,Reverse of reference edge ceo_chair_split -> governance_compliance_score is not allowed in the main forbidden-only constraint set.
resilience_score,climate_risk_assessment_done,forbid_reverse_of_reference_edge,Reverse of reference edge climate_risk_assessment_done -> resilience_score is not allowed in the main forbidden-only constraint set.
environmental_fines,co2_ch4_n2o_scope_1_3,forbid_reverse_of_reference_edge,Reverse of reference edge co2_ch4_n2o_scope_1_3 -> environmental_fines is not allowed in the main forbidden-only constraint set.
fair_wage_gap,collective_bargaining_coverage,forbid_reverse_of_reference_edge,Reverse of reference edge collective_bargaining_coverage -> fair_wage_gap is not allowed in the main forbidden-only constraint set.
ethical_breaches,corruption_cases,forbid_reverse_of_reference_edge,Reverse of reference edge corruption_cases -> ethical_breaches is not allowed in the main forbidden-only constraint set.
governance_compliance_score,corruption_cases,forbid_reverse_of_reference_edge,Reverse of reference edge corruption_cases -> governance_compliance_score is not allowed in the main forbidden-only constraint set.
net_profit_margin,customer_satisfaction_score,forbid_reverse_of_reference_edge,Reverse of reference edge customer_satisfaction_score -> net_profit_margin is not allowed in the main forbidden-only constraint set.
turnover_rate,customer_satisfaction_score,forbid_reverse_of_reference_edge,Reverse of reference edge customer_satisfaction_score -> turnover_rate is not allowed in the main forbidden-only constraint set.
human_rights_violations,diversity_representation,forbid_reverse_of_reference_edge,Reverse of reference edge diversity_representation -> human_rights_violations is not allowed in the main forbidden-only constraint set.
carbon_intensity,emission_reduction_policy,forbid_reverse_of_reference_edge,Reverse of reference edge emission_reduction_policy -> carbon_intensity is not allowed in the main forbidden-only constraint set.
co2_ch4_n2o_scope_1_3,emission_reduction_policy,forbid_reverse_of_reference_edge,Reverse of reference edge emission_reduction_policy -> co2_ch4_n2o_scope_1_3 is not allowed in the main forbidden-only constraint set.
renewable_energy_share,emission_reduction_policy,forbid_reverse_of_reference_edge,Reverse of reference edge emission_reduction_policy -> renewable_energy_share is not allowed in the main forbidden-only constraint set.
roa_eat,emission_reduction_policy,forbid_reverse_of_reference_edge,Reverse of reference edge emission_reduction_policy -> roa_eat is not allowed in the main forbidden-only constraint set.
roe_eat,emission_reduction_policy,forbid_reverse_of_reference_edge,Reverse of reference edge emission_reduction_policy -> roe_eat is not allowed in the main forbidden-only constraint set.
total_energy_consumption,emission_reduction_policy,forbid_reverse_of_reference_edge,Reverse of reference edge emission_reduction_policy -> total_energy_consumption is not allowed in the main forbidden-only constraint set.
debt_to_equity_ratio,environmental_fines,forbid_reverse_of_reference_edge,Reverse of reference edge environmental_fines -> debt_to_equity_ratio is not allowed in the main forbidden-only constraint set.
market_value_equity,environmental_fines,forbid_reverse_of_reference_edge,Reverse of reference edge environmental_fines -> market_value_equity is not allowed in the main forbidden-only constraint set.
emission_reduction_policy,esg_incentive_bonus,forbid_reverse_of_reference_edge,Reverse of reference edge esg_incentive_bonus -> emission_reduction_policy is not allowed in the main forbidden-only constraint set.
assurance_score,esg_oversight_policy,forbid_reverse_of_reference_edge,Reverse of reference edge esg_oversight_policy -> assurance_score is not allowed in the main forbidden-only constraint set.
emission_reduction_policy,esg_oversight_policy,forbid_reverse_of_reference_edge,Reverse of reference edge esg_oversight_policy -> emission_reduction_policy is not allowed in the main forbidden-only constraint set.
governance_compliance_score,esg_oversight_policy,forbid_reverse_of_reference_edge,Reverse of reference edge esg_oversight_policy -> governance_compliance_score is not allowed in the main forbidden-only constraint set.
reporting_quality_score,esg_oversight_policy,forbid_reverse_of_reference_edge,Reverse of reference edge esg_oversight_policy -> reporting_quality_score is not allowed in the main forbidden-only constraint set.
governance_compliance_score,ethical_breaches,forbid_reverse_of_reference_edge,Reverse of reference edge ethical_breaches -> governance_compliance_score is not allowed in the main forbidden-only constraint set.
debt_to_equity_ratio,governance_compliance_score,forbid_reverse_of_reference_edge,Reverse of reference edge governance_compliance_score -> debt_to_equity_ratio is not allowed in the main forbidden-only constraint set.
solvency_ratio,governance_compliance_score,forbid_reverse_of_reference_edge,Reverse of reference edge governance_compliance_score -> solvency_ratio is not allowed in the main forbidden-only constraint set.
environmental_fines,hazardous_waste_generated,forbid_reverse_of_reference_edge,Reverse of reference edge hazardous_waste_generated -> environmental_fines is not allowed in the main forbidden-only constraint set.
net_profit_margin,injury_frequency_rate,forbid_reverse_of_reference_edge,Reverse of reference edge injury_frequency_rate -> net_profit_margin is not allowed in the main forbidden-only constraint set.
environmental_fines,iso_14001_exists,forbid_reverse_of_reference_edge,Reverse of reference edge iso_14001_exists -> environmental_fines is not allowed in the main forbidden-only constraint set.
net_profit_margin,iso_14001_exists,forbid_reverse_of_reference_edge,Reverse of reference edge iso_14001_exists -> net_profit_margin is not allowed in the main forbidden-only constraint set.
reporting_quality_score,iso_14001_exists,forbid_reverse_of_reference_edge,Reverse of reference edge iso_14001_exists -> reporting_quality_score is not allowed in the main forbidden-only constraint set.
carbon_intensity,renewable_energy_share,forbid_reverse_of_reference_edge,Reverse of reference edge renewable_energy_share -> carbon_intensity is not allowed in the main forbidden-only constraint set.
carbon_intensity,total_energy_consumption,forbid_reverse_of_reference_edge,Reverse of reference edge total_energy_consumption -> carbon_intensity is not allowed in the main forbidden-only constraint set.
co2_ch4_n2o_scope_1_3,total_energy_consumption,forbid_reverse_of_reference_edge,Reverse of reference edge total_energy_consumption -> co2_ch4_n2o_scope_1_3 is not allowed in the main forbidden-only constraint set.
injury_frequency_rate,training_hours,forbid_reverse_of_reference_edge,Reverse of reference edge training_hours -> injury_frequency_rate is not allowed in the main forbidden-only constraint set.
turnover_rate,training_hours,forbid_reverse_of_reference_edge,Reverse of reference edge training_hours -> turnover_rate is not allowed in the main forbidden-only constraint set.
hazardous_waste_generated,waste_recycled_share,forbid_reverse_of_reference_edge,Reverse of reference edge waste_recycled_share -> hazardous_waste_generated is not allowed in the main forbidden-only constraint set.
environmental_fines,water_withdrawal,forbid_reverse_of_reference_edge,Reverse of reference edge water_withdrawal -> environmental_fines is not allowed in the main forbidden-only constraint set.
market_value_equity,co2_ch4_n2o_scope_1_3,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,emission_reduction_policy,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,carbon_neutral_commitment,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,climate_risk_assessment_done,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,iso_14001_exists,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,total_energy_consumption,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,renewable_energy_share,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,hazardous_waste_generated,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,waste_recycled_share,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,water_withdrawal,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,collective_bargaining_coverage,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,fair_wage_gap,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,human_rights_violations,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,diversity_representation,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,training_hours,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,turnover_rate,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,injury_frequency_rate,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,esg_oversight_policy,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,board_diversity,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,esg_incentive_bonus,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,ceo_chair_split,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,ethical_breaches,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,anti_competitive_violations,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
market_value_equity,corruption_cases,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,co2_ch4_n2o_scope_1_3,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,carbon_intensity,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,emission_reduction_policy,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,carbon_neutral_commitment,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,climate_risk_assessment_done,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,environmental_fines,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,iso_14001_exists,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,total_energy_consumption,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,renewable_energy_share,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,hazardous_waste_generated,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,waste_recycled_share,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,water_withdrawal,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,collective_bargaining_coverage,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,fair_wage_gap,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,human_rights_violations,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,diversity_representation,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,training_hours,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,turnover_rate,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,injury_frequency_rate,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,esg_oversight_policy,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,board_diversity,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,esg_incentive_bonus,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,ceo_chair_split,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,ethical_breaches,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,anti_competitive_violations,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
asset_growth_pct,corruption_cases,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,co2_ch4_n2o_scope_1_3,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,carbon_intensity,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,emission_reduction_policy,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,carbon_neutral_commitment,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,climate_risk_assessment_done,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,iso_14001_exists,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,total_energy_consumption,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,renewable_energy_share,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,hazardous_waste_generated,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,waste_recycled_share,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,water_withdrawal,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,collective_bargaining_coverage,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,fair_wage_gap,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,human_rights_violations,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,diversity_representation,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,training_hours,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,turnover_rate,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,injury_frequency_rate,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,esg_oversight_policy,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,board_diversity,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,esg_incentive_bonus,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,ceo_chair_split,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,ethical_breaches,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,anti_competitive_violations,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
debt_to_equity_ratio,corruption_cases,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
pe_ratio,co2_ch4_n2o_scope_1_3,forbid_financial_outcome_to_prior_esg_indicator,"Financial outcomes should not cause prior ESG operational, risk, or policy indicators without explicit temporal justification."
