row_index,column,raw_value,currency_detected,source_amount,fx_rate_used,fx_rate_date,eur_amount
9,community_investment_eur,SEK 60.2 million,SEK,60200000.0,0.09240863096613224,2025-12-31,5562999.5841611605
14,community_investment_eur,"Ps. 202,549 million",MXN,202549000.0,0.04735296903115826,2025-12-31,9591296.524292074
20,community_investment_eur,$33.3 million,USD,33299999.999999996,0.851063829787234,2025-12-31,28340425.53191489
21,community_investment_eur,"$174,704 million (USD)",USD,174704000.0,0.851063829787234,2025-12-31,148684255.31914893
34,community_investment_eur,"$174,704 Million (Cumulative)",USD,174704000.0,0.851063829787234,2025-12-31,148684255.31914893
41,community_investment_eur,"$2,000,000 (Regional) / €250,000 (Local)",USD,2250000.0,0.851063829787234,2025-12-31,1914893.6170212766
42,community_investment_eur,$86 Million (USD),USD,86000000.0,0.851063829787234,2025-12-31,73191489.36170213
49,community_investment_eur,DKK 7.1 million,DKK,7100000.0,0.13388852441457244,2025-12-31,950608.5233434644
54,community_investment_eur,"BGN 1,323,375",BGN,1323375.0,0.5112997238981491,2025-12-31,676641.2721137131
63,community_investment_eur,$107.3m,USD,107300000.0,0.851063829787234,2025-12-31,91319148.93617022
82,community_investment_eur,$160+ million (USD),USD,160000000.0,0.851063829787234,2025-12-31,136170212.76595744
85,community_investment_eur,£11.1 million,GBP,11100000.0,1.1460004584001833,2025-12-31,12720605.088242033
87,community_investment_eur,$36.3 Million,USD,36300000.0,0.851063829787234,2025-12-31,30893617.021276597
92,community_investment_eur,HUF 5.0 billion,HUF,5000000000.0,0.002596391016487083,2025-12-31,12981955.082435414
94,community_investment_eur,$105 million (Cumulative),USD,105000000.0,0.851063829787234,2025-12-31,89361702.12765957
98,community_investment_eur,£11.1 million,GBP,11100000.0,1.1460004584001833,2025-12-31,12720605.088242033
102,community_investment_eur,$25.8 million,USD,25800000.0,0.851063829787234,2025-12-31,21957446.80851064
103,community_investment_eur,SEK 119m,SEK,119000000.0,0.09240863096613224,2025-12-31,10996627.084969737
108,community_investment_eur,"664,000 CZK",CZK,664000.0,0.04125923175310476,2025-12-31,27396.12988406156
9,green_financing_eur,SEK 74.2 billion (Sustainable financing) / SEK 259 billion (Activity Index volume),SEK,333200000000.0,0.09240863096613224,2025-12-31,30790555837.91526
14,green_financing_eur,"Ps. 206,493 million",MXN,206493000.0,0.04735296903115826,2025-12-31,9778056.634150961
20,green_financing_eur,$4.8 billion,USD,4800000000.0,0.851063829787234,2025-12-31,4085106382.9787235
21,green_financing_eur,"$410,098 million (USD)",USD,410098000.0,0.851063829787234,2025-12-31,349019574.4680851
28,green_financing_eur,$27.6bn,USD,27600000000.0,0.851063829787234,2025-12-31,23489361702.12766
34,green_financing_eur,"$157,947 Million (2022); $410,098 Million (Cumulative)",USD,568045000.0,0.851063829787234,2025-12-31,483442553.19148934
41,green_financing_eur,$155m (Turnover) / $282m (CapEx),USD,437000000.0,0.851063829787234,2025-12-31,371914893.61702126
42,green_financing_eur,$92.7 Billion (USD),USD,92700000000.0,0.851063829787234,2025-12-31,78893617021.2766
49,green_financing_eur,DKK 365 billion,DKK,365000000000.0,0.13388852441457244,2025-12-31,48869311411.31894
54,green_financing_eur,"BGN 2,126 million",BGN,2126000000.0,0.5112997238981491,2025-12-31,1087023213.0074651
60,green_financing_eur,~$555B (Cumulative),USD,555.0,0.851063829787234,2025-12-31,472.3404255319149
63,green_financing_eur,$294.4bn,USD,294400000000.0,0.851063829787234,2025-12-31,250553191489.3617
82,green_financing_eur,$820+ billion (USD),USD,820000000000.0,0.851063829787234,2025-12-31,697872340425.5319
85,green_financing_eur,£29.3 billion,GBP,29300000000.0,1.1460004584001833,2025-12-31,33577813431.12537
87,green_financing_eur,$52 Billion,USD,52000000000.0,0.851063829787234,2025-12-31,44255319148.93617
92,green_financing_eur,HUF 656 billion,HUF,656000000000.0,0.002596391016487083,2025-12-31,1703232506.8155265
94,green_financing_eur,$83.7 billion (2023 annual),USD,83700000000.0,0.851063829787234,2025-12-31,71234042553.19148
98,green_financing_eur,£29.3 billion (2023),GBP,29300000000.0,1.1460004584001833,2025-12-31,33577813431.12537
102,green_financing_eur,$650 billion (ESG AUM); $365.8 million (Bonds),USD,650365800000.0,0.851063829787234,2025-12-31,553502808510.6383
103,green_financing_eur,"SEK 86,460m",SEK,86460000000.0,0.09240863096613224,2025-12-31,7989650233.331793
9,total_revenue_eur,"SEK 80,193 million (Operating Income) / SEK 174,354 million (Gross Income)",SEK,254547000000.0,0.09240863096613224,2025-12-31,23522339786.53606
14,total_revenue_eur,"Ps. 222,143 million",MXN,222143000000.0,0.04735296903115826,2025-12-31,10519130599.488588
20,total_revenue_eur,$933 million (Net Income),USD,933000000.0,0.851063829787234,2025-12-31,794042553.1914893
41,total_revenue_eur,"$4,347 million",USD,4347000000.0,0.851063829787234,2025-12-31,3699574468.0851064
49,total_revenue_eur,"DKK 52,445 million",DKK,52445000000.0,0.13388852441457244,2025-12-31,7021783662.922252
54,total_revenue_eur,"BGN 1,173,071,000",BGN,1173071000.0,0.5112997238981491,2025-12-31,599790878.4129257
60,total_revenue_eur,"$46,254 million",USD,46254000000.0,0.851063829787234,2025-12-31,39365106382.97872
63,total_revenue_eur,$66.1bn,USD,66099999999.99999,0.851063829787234,2025-12-31,56255319148.936165
82,total_revenue_eur,"$54,143 million (USD)",USD,54143000000.0,0.851063829787234,2025-12-31,46079148936.17021
85,total_revenue_eur,"£14,752 million",GBP,14752000000.0,1.1460004584001833,2025-12-31,16905798762.319504
87,total_revenue_eur,"$17,502 Million",USD,17502000000.0,0.851063829787234,2025-12-31,14895319148.93617
92,total_revenue_eur,"HUF 2,224,584 million",HUF,2224584000000.0,0.002596391016487083,2025-12-31,5775889913.020901
94,total_revenue_eur,"$66,058 million",USD,66058000000.0,0.851063829787234,2025-12-31,56219574468.085106
98,total_revenue_eur,"£14,752 million",GBP,14752000000.0,1.1460004584001833,2025-12-31,16905798762.319504
103,total_revenue_eur,"SEK 73,057m",SEK,73057000000.0,0.09240863096613224,2025-12-31,6751097352.4927225
104,total_revenue_eur,USD 292.3 billion,USD,292300000000.0,0.851063829787234,2025-12-31,248765957446.8085
108,total_revenue_eur,"14,615 million CZK",CZK,14615000000.0,0.04125923175310476,2025-12-31,603003672.0716261
